value,metric,gen,run,enemy_group,enemy
6.020110622208404,mean,5,4,,0.0
39.594224212692524,max,6,4,,0.0
4.902923508547997,mean,6,4,,0.0
39.594224212692524,max,7,4,,0.0
5.177685592980153,mean,7,4,,0.0
39.594224212692524,max,8,4,,0.0
4.792102514936857,mean,8,4,,0.0
39.594224212692524,max,9,4,,0.0
5.599189382984366,mean,9,4,,0.0
39.594224212692524,max,10,4,,0.0
7.889302013708789,mean,10,4,,0.0
39.594224212692524,max,11,4,,0.0
4.815992509772045,mean,11,4,,0.0
39.594224212692524,max,12,4,,0.0
6.492227388410365,mean,12,4,,0.0
39.594224212692524,max,13,4,,0.0
8.893937409031974,mean,13,4,,0.0
39.594224212692524,max,14,4,,0.0
9.504719423308735,mean,14,4,,0.0
39.594224212692524,max,15,4,,0.0
8.38136288599588,mean,15,4,,0.0
39.594224212692524,max,16,4,,0.0
7.673777539765426,mean,16,4,,0.0
39.594224212692524,max,17,4,,0.0
8.885487807122491,mean,17,4,,0.0
42.30406348935253,max,18,4,,0.0
11.270711674577957,mean,18,4,,0.0
42.30406348935253,max,19,4,,0.0
9.668957356196278,mean,19,4,,0.0
20.469587496755253,max,0,5,,0.0
-3.1876996847955636,mean,0,5,,0.0
20.517330245590887,max,1,5,,0.0
-0.45046291547185596,mean,1,5,,0.0
29.25867807208995,max,2,5,,0.0
5.001036509013178,mean,2,5,,0.0
29.25867807208995,max,3,5,,0.0
8.882888307452745,mean,3,5,,0.0
29.25867807208995,max,4,5,,0.0
6.38273536103894,mean,4,5,,0.0
29.25867807208995,max,5,5,,0.0
8.544872964852962,mean,5,5,,0.0
29.659843072912068,max,6,5,,0.0
6.444713130380388,mean,6,5,,0.0
29.659843072912068,max,7,5,,0.0
8.335670598712216,mean,7,5,,0.0
29.659843072912068,max,8,5,,0.0
11.189212084914589,mean,8,5,,0.0
29.659843072912068,max,9,5,,0.0
11.043499147715687,mean,9,5,,0.0
29.659843072912068,max,10,5,,0.0
8.840572706214148,mean,10,5,,0.0
29.659843072912068,max,11,5,,0.0
11.736709297000232,mean,11,5,,0.0
29.659843072912068,max,12,5,,0.0
10.794503698404206,mean,12,5,,0.0
29.659843072912068,max,13,5,,0.0
9.585647335442504,mean,13,5,,0.0
29.659843072912068,max,14,5,,0.0
10.977734147450475,mean,14,5,,0.0
29.72423536593724,max,15,5,,0.0
11.703547655358413,mean,15,5,,0.0
29.72423536593724,max,16,5,,0.0
9.213762285143282,mean,16,5,,0.0
32.9835005694769,max,17,5,,0.0
9.478828645900414,mean,17,5,,0.0
32.9835005694769,max,18,5,,0.0
11.477033410531394,mean,18,5,,0.0
32.9835005694769,max,19,5,,0.0
6.167426521361086,mean,19,5,,0.0
20.198330991955427,max,0,6,,0.0
-4.213734989518977,mean,0,6,,0.0
20.205628671066563,max,1,6,,0.0
-1.4701575634452753,mean,1,6,,0.0
21.0696714410404,max,2,6,,0.0
1.876118192695752,mean,2,6,,0.0
21.0696714410404,max,3,6,,0.0
